county_code,district_code,school_code,district_name,school_name,entity_name,auth,program,charter,facility,school_type,entity_level_num
00,00000,0000000,State of California,State of California,State of California,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0
12,62984,0000000,Peninsula Union,,Peninsula Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
21,65318,0000000,Miller Creek Elementary,,Miller Creek Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
33,67116,0000000,Menifee Union,,Menifee Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
33,67157,0000000,Nuview Union,,Nuview Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
34,32276,0000000,California Education Authority (CEA) Headquarters,,California Education Authority (CEA) Headquarters,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
43,69534,0000000,Los Gatos-Saratoga Union High,,Los Gatos-Saratoga Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
43,69591,0000000,Mountain View Whisman,,Mountain View Whisman,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
49,70789,0000000,Kenwood,,Kenwood,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
55,72348,0000000,Columbia Union,,Columbia Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
58,72751,0000000,Wheatland,,Wheatland,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
09,61945,0000000,Pioneer Union,,Pioneer Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,10017,0000000,Alameda County Office of Education,,Alameda County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,31609,0000000,California School for the Blind (State Special Schl),,California School for the Blind (State Special Schl),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,31617,0000000,California School for the Deaf-Fremont (State Special Schl),,California School for the Deaf-Fremont (State Special Schl),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61119,0000000,Alameda Unified,,Alameda Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61127,0000000,Albany City Unified,,Albany City Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61143,0000000,Berkeley Unified,,Berkeley Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61150,0000000,Castro Valley Unified,,Castro Valley Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61168,0000000,Emery Unified,,Emery Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61176,0000000,Fremont Unified,,Fremont Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61192,0000000,Hayward Unified,,Hayward Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61200,0000000,Livermore Valley Joint Unified,,Livermore Valley Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61218,0000000,Mountain House Elementary,,Mountain House Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61234,0000000,Newark Unified,,Newark Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61242,0000000,New Haven Unified,,New Haven Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61259,0000000,Oakland Unified,,Oakland Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61275,0000000,Piedmont City Unified,,Piedmont City Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,61291,0000000,San Leandro Unified,,San Leandro Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,69914,0000000,Cascade Union Elementary,,Cascade Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,69922,0000000,Castle Rock Union Elementary,,Castle Rock Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
00,69948,0000000,Columbia Elementary,,Columbia Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,10108,0000000,Fresno County Office of Education,,Fresno County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,61994,0000000,Alvina Elementary,,Alvina Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62026,0000000,Big Creek Elementary,,Big Creek Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62042,0000000,Burrel Union Elementary,,Burrel Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62109,0000000,Clay Joint Elementary,,Clay Joint Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62117,0000000,Clovis Unified,,Clovis Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62125,0000000,Coalinga-Huron Unified,,Coalinga-Huron Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62158,0000000,Fowler Unified,,Fowler Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62166,0000000,Fresno Unified,,Fresno Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62240,0000000,Kingsburg Elementary Charter,,Kingsburg Elementary Charter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62257,0000000,Kingsburg Joint Union High,,Kingsburg Joint Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62265,0000000,Kings Canyon Joint Unified,,Kings Canyon Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62281,0000000,Laton Joint Unified,,Laton Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62323,0000000,Monroe Elementary,,Monroe Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62331,0000000,Orange Center,,Orange Center,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62356,0000000,Pacific Union Elementary,,Pacific Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62364,0000000,Parlier Unified,,Parlier Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62372,0000000,Pine Ridge Elementary,,Pine Ridge Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62380,0000000,Raisin City Elementary,,Raisin City Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62414,0000000,Sanger Unified,,Sanger Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62430,0000000,Selma Unified,,Selma Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62513,0000000,Washington Colony Elementary,,Washington Colony Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62539,0000000,West Park Elementary,,West Park Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,62547,0000000,Westside Elementary,,Westside Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,73809,0000000,Firebaugh-Las Deltas Unified,,Firebaugh-Las Deltas Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,73965,0000000,Central Unified,,Central Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,73999,0000000,Kerman Unified,,Kerman Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,75127,0000000,Mendota Unified,,Mendota Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,75234,0000000,Golden Plains Unified,,Golden Plains Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,75275,0000000,Sierra Unified,,Sierra Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,75408,0000000,Riverdale Joint Unified,,Riverdale Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,75598,0000000,Caruthers Unified,,Caruthers Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
10,76778,0000000,Washington Unified,,Washington Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10017,0000000,Alameda County Office of Education,,Alameda County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10033,0000000,Amador County Office of Education,,Amador County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10041,0000000,Butte County Office of Education,,Butte County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10058,0000000,Calaveras County Office of Education,,Calaveras County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10066,0000000,Colusa County Office of Education,,Colusa County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10074,0000000,Contra Costa County Office of Education,,Contra Costa County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10082,0000000,Del Norte County Office of Education,,Del Norte County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10090,0000000,El Dorado County Office of Education,,El Dorado County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10108,0000000,Fresno County Office of Education,,Fresno County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10116,0000000,Glenn County Office of Education,,Glenn County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10124,0000000,Humboldt County Office of Education,,Humboldt County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10132,0000000,Imperial County Office of Education,,Imperial County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10140,0000000,Inyo County Office of Education,,Inyo County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10157,0000000,Kern County Office of Education,,Kern County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10165,0000000,Kings County Office of Education,,Kings County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10173,0000000,Lake County Office of Education,,Lake County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10181,0000000,Lassen County Office of Education,,Lassen County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10199,0000000,Los Angeles County Office of Education,,Los Angeles County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10207,0000000,Madera County Superintendent of Schools,,Madera County Superintendent of Schools,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,10215,0000000,Marin County Office of Education,,Marin County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
11,10116,0000000,Glenn County Office of Education,,Glenn County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
11,62554,0000000,Capay Joint Union Elementary,,Capay Joint Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
11,62596,0000000,Lake Elementary,,Lake Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
11,62638,0000000,Plaza Elementary,,Plaza Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
11,62646,0000000,Princeton Joint Unified,,Princeton Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
11,62653,0000000,Stony Creek Joint Unified,,Stony Creek Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
11,62661,0000000,Willows Unified,,Willows Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
11,75481,0000000,Orland Joint Unified,,Orland Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
11,76562,0000000,Hamilton Unified,,Hamilton Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,10124,0000000,Humboldt County Office of Education,,Humboldt County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62679,0000000,Arcata Elementary,,Arcata Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62687,0000000,Northern Humboldt Union High,,Northern Humboldt Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62695,0000000,Big Lagoon Union Elementary,,Big Lagoon Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62703,0000000,Blue Lake Union Elementary,,Blue Lake Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62729,0000000,Bridgeville Elementary,,Bridgeville Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62737,0000000,Cuddeback Union Elementary,,Cuddeback Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62745,0000000,Cutten Elementary,,Cutten Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62794,0000000,Fieldbrook Elementary,,Fieldbrook Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62810,0000000,Fortuna Union High,,Fortuna Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62828,0000000,Freshwater Elementary,,Freshwater Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62836,0000000,Garfield Elementary,,Garfield Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62851,0000000,Green Point Elementary,,Green Point Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62885,0000000,Hydesville Elementary,,Hydesville Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62893,0000000,Jacoby Creek Elementary,,Jacoby Creek Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62901,0000000,Klamath-Trinity Joint Unified,,Klamath-Trinity Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62919,0000000,Kneeland Elementary,,Kneeland Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62927,0000000,Loleta Union Elementary,,Loleta Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62935,0000000,Maple Creek Elementary,,Maple Creek Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62950,0000000,McKinleyville Union Elementary,,McKinleyville Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62968,0000000,Orick Elementary,,Orick Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,62976,0000000,Pacific Union Elementary,,Pacific Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,63008,0000000,Rio Dell Elementary,,Rio Dell Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,63024,0000000,Scotia Union Elementary,,Scotia Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,63032,0000000,South Bay Union Elementary,,South Bay Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,63040,0000000,Southern Humboldt Joint Unified,,Southern Humboldt Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,63057,0000000,Trinidad Union Elementary,,Trinidad Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,75374,0000000,Ferndale Unified,,Ferndale Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,75382,0000000,Mattole Unified,,Mattole Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,75515,0000000,Eureka City Schools,,Eureka City Schools,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
12,76802,0000000,Fortuna Elementary,,Fortuna Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,10132,0000000,Imperial County Office of Education,,Imperial County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,31609,0000000,California School for the Blind (State Special Schl),,California School for the Blind (State Special Schl),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,31617,0000000,California School for the Deaf-Fremont (State Special Schl),,California School for the Deaf-Fremont (State Special Schl),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63073,0000000,Brawley Elementary,,Brawley Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63081,0000000,Brawley Union High,,Brawley Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63099,0000000,Calexico Unified,,Calexico Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63107,0000000,Calipatria Unified,,Calipatria Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63115,0000000,Central Union High,,Central Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63123,0000000,El Centro Elementary,,El Centro Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63131,0000000,Heber Elementary,,Heber Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63149,0000000,Holtville Unified,,Holtville Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63164,0000000,Imperial Unified,,Imperial Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63172,0000000,Magnolia Union Elementary,,Magnolia Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63180,0000000,McCabe Union Elementary,,McCabe Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63198,0000000,Meadows Union Elementary,,Meadows Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63206,0000000,Mulberry Elementary,,Mulberry Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63214,0000000,San Pasqual Valley Unified,,San Pasqual Valley Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63222,0000000,Seeley Union Elementary,,Seeley Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
13,63230,0000000,Westmorland Union Elementary,,Westmorland Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
14,10140,0000000,Inyo County Office of Education,,Inyo County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
14,63248,0000000,Big Pine Unified,,Big Pine Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
14,63271,0000000,Death Valley Unified,,Death Valley Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
14,63289,0000000,Lone Pine Unified,,Lone Pine Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
14,63297,0000000,Owens Valley Unified,,Owens Valley Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
14,63305,0000000,Round Valley Joint Elementary,,Round Valley Joint Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
14,76687,0000000,Bishop Unified,,Bishop Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,10157,0000000,Kern County Office of Education,,Kern County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63313,0000000,Arvin Union,,Arvin Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63321,0000000,Bakersfield City,,Bakersfield City,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63339,0000000,Beardsley Elementary,,Beardsley Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63347,0000000,Belridge Elementary,,Belridge Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63354,0000000,Blake Elementary,,Blake Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63362,0000000,Panama-Buena Vista Union,,Panama-Buena Vista Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63370,0000000,Buttonwillow Union Elementary,,Buttonwillow Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63388,0000000,Caliente Union Elementary,,Caliente Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63404,0000000,Delano Union Elementary,,Delano Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63412,0000000,Delano Joint Union High,,Delano Joint Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63420,0000000,Di Giorgio Elementary,,Di Giorgio Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63438,0000000,Edison Elementary,,Edison Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63446,0000000,Elk Hills Elementary,,Elk Hills Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63461,0000000,Fairfax Elementary,,Fairfax Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63479,0000000,Fruitvale Elementary,,Fruitvale Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63487,0000000,General Shafter Elementary,,General Shafter Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63503,0000000,Greenfield Union,,Greenfield Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63529,0000000,Kern High,,Kern High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63545,0000000,Kernville Union Elementary,,Kernville Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63552,0000000,Lakeside Union,,Lakeside Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63560,0000000,Lamont Elementary,,Lamont Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63578,0000000,Richland Union Elementary,,Richland Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63586,0000000,Linns Valley-Poso Flat Union,,Linns Valley-Poso Flat Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63594,0000000,Lost Hills Union Elementary,,Lost Hills Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63610,0000000,Maple Elementary,,Maple Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63628,0000000,Maricopa Unified,,Maricopa Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63651,0000000,McKittrick Elementary,,McKittrick Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63669,0000000,Midway Elementary,,Midway Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63677,0000000,Mojave Unified,,Mojave Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63685,0000000,Muroc Joint Unified,,Muroc Joint Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63693,0000000,Norris Elementary,,Norris Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63719,0000000,Pond Union Elementary,,Pond Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63750,0000000,Rosedale Union Elementary,,Rosedale Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63768,0000000,Semitropic Elementary,,Semitropic Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63776,0000000,Southern Kern Unified,,Southern Kern Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63784,0000000,South Fork Union,,South Fork Union,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63792,0000000,Standard Elementary,,Standard Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63800,0000000,Taft City,,Taft City,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63818,0000000,Taft Union High,,Taft Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63826,0000000,Tehachapi Unified,,Tehachapi Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63834,0000000,Vineland Elementary,,Vineland Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63842,0000000,Wasco Union Elementary,,Wasco Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,63859,0000000,Wasco Union High,,Wasco Union High,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,73544,0000000,Rio Bravo-Greeley Union Elementary,,Rio Bravo-Greeley Union Elementary,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,73742,0000000,Sierra Sands Unified,,Sierra Sands Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,73908,0000000,McFarland Unified,,McFarland Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,75168,0000000,El Tejon Unified,,El Tejon Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
15,75630,0000000,SBE - Ridgecrest Charter,,SBE - Ridgecrest Charter,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
16,10165,0000000,Kings County Office of Education,,Kings County Office of Education,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,61119,0000000,Alameda Unified,,Alameda Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,61127,0000000,Albany City Unified,,Albany City Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,61143,0000000,Berkeley Unified,,Berkeley Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,61150,0000000,Castro Valley Unified,,Castro Valley Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,61168,0000000,Emery Unified,,Emery Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
01,61176,0000000,Fremont Unified,,Fremont Unified,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,2
